產業,事件標題,選項A,選項B,選項C
全域,公司樓下的麥當勞大麥克買一送一，員工都在排隊摸魚無心上班。,[老闆請客](花費:$5萬)•100%:因為「員工士氣大振效率提升」股價上升(x1.01),[廣播扣薪](花費:$0)•100%:因為「員工偷偷給公司負評」股價下降(x0.98),[老闆自己也去排隊](花費:$0)•30%:因為「展現親民作風」股價上升(x1.01)•70%:因為「被拍到上傳爆料公社高層形象受損」股價下降(x0.98)
科技,公司剛報到的實習生讀「工程數學」讀到通宵，隔天精神恍惚把核心系統的根目錄刪了。,[花錢請資安團隊救援](花費:$20萬)•90%:因為「迅速救回系統」股價上升(x1.02)•10%:因為「駭客趁機偷資料」股價下降(x0.95),[叫他馬上想辦法復原](花費:$0)•20%:因為「他突然靈光一閃修好了」股價持平(x1.0)•80%:因為「他直接累到睡著系統停擺」股價下降(x0.96),(無)
科技,實習生把公司內部系統當作期末專題，用 JavaFX 重寫了一個超華麗但有夠卡的介面。,[撥預算優化底層效能](花費:$15萬)•80%:因為「介面變美且順暢大獲好評」股價上升(x1.03)•20%:因為「越改越卡投資人傻眼」股價下降(x0.97),[默默換回舊版](花費:$0)•100%:因為「客戶根本沒發現任何變化」股價持平(x1.0),(無)
科技,開發環境突然全部崩潰，查了半天才發現是有工程師在跑 TOEIC 題庫的 AI 爬蟲，把頻寬吃光了。,[直接升級公司頻寬](花費:$30萬)•100%:因為「解決根本問題員工好感度提升」股價上升(x1.01),[拔掉他的網路線](花費:$0)•50%:因為「系統秒恢復」股價持平(x1.0)•50%:因為「他不小心把正式資料庫一併砍了」股價下降(x0.92),(無)
銀行,研發部高層讀《窮爸爸富爸爸》走火入魔，要求把公司一半的準備金拿去定期定額買 0050。,[聽從建議大舉進場](花費:$500萬)•60%:因為「台股大漲公司帳面獲利狂飆」股價上升(x1.08)•40%:因為「遇到外資倒貨慘賠」股價下降(x0.91),[專注本業退回提案](花費:$0)•100%:因為「穩紮穩打符合投資人期待」股價持平(x1.0),(無)
全域,公司尾牙，結果福委會請來了高中「資訊研究社」的學生來表演寫 Python 迴圈。,[給學生發大紅包](花費:$10萬)•80%:因為「鼓勵年輕學子企業形象大增」股價上升(x1.02)•20%:因為「表演太硬核員工全睡著」股價下降(x0.98),[中斷表演改發獎金](花費:$0)•100%:因為「成功挽救尾牙氣氛」股價上升(x1.01),(無)
科技,AI伺服器因為工程師偷接氣炸鍋導致跳電,[全面檢修機房](花費:$120萬)•85%:因為「成功恢復穩定」股價上升(x1.05)•15%:因為「停機太久客戶流失」股價下降(x0.93),[假裝是節能測試](花費:$0)•20%:因為「投資人相信技術創新」股價上升(x1.01)•80%:因為「被公開監視器畫面」股價下降(x0.8),(無)
科技,公司AI客服突然開始推薦股票,[緊急關閉模型](花費:$60萬)•90%:因為「避免監管調查」股價上升(x1.03)•10%:因為「服務中斷」股價下降(x0.96),[推出AI投顧服務](花費:$200萬)•40%:因為「市場看好新業務」股價上升(x1.05)•60%:因為「亂推薦股票被金管會盯上」股價下降(x0.8),(無)
科技,工程師把正式資料庫命名成test_final_final2,[回滾備份](花費:$80萬)•95%:因為「成功恢復資料」股價上升(x1.03)•5%:因為「備份也壞了」股價下降(x0.8),[怪罪實習生](花費:$0)•30%:因為「投資人接受說法」股價持平(x1.0)•70%:因為「實習生公開對話截圖」股價下降(x0.8),(無)
科技,新品發表會直播誤開Steam遊戲庫,[立刻切斷直播](花費:$10萬)•90%:因為「市場認為只是意外」股價持平(x1.0)•10%:因為「迷因瘋傳」股價下降(x0.95),[宣布進軍遊戲市場](花費:$100萬)•35%:因為「年輕投資人看好」股價上升(x1.05)•65%:因為「根本沒有產品」股價下降(x0.8),(無)
